monkey.ID,single.side,hidden.first,box.removed,choice,choice.bin,sex,age
6C0,left,single,right,paired,1,F,18.885694729637200
AJ2,left,single,right,paired,1,F,6.414784394250510
DR7,left,single,right,paired,1,F,4.542094455852160
9Z9,left,single,right,paired,1,M,7.520876112251880
DS5,left,single,right,paired,1,M,2.64476386036961
6M0,left,single,right,single,0,M,13.415468856947300
4J4,right,paired,right,single,0,F,15.318275154004100
EB4,right,paired,right,paired,1,F,3.4989733059548300
DB5,right,paired,right,paired,1,F,3.3921971252566700
CH5,right,paired,right,paired,1,F,4.350444900752910
CV0,right,paired,right,paired,1,F,3.4140999315537300
EF8,right,paired,right,paired,1,F,3.433264887063660
AP3,left,paired,right,paired,1,F,6.617385352498290
9D8,left,paired,right,paired,1,F,18.21218343600270
AB1,left,paired,right,single,0,F,7.3757700205338800
BR4,left,paired,right,paired,1,F,5.661875427789190
EB6,right,single,right,paired,1,F,2.6803559206023300
6H9,right,single,right,paired,1,M,16.344969199178600
AH9,right,single,right,single,0,M,7.394934976043810
4C5,left,single,left,paired,1,F,19.08829568788500
CA3,left,single,left,paired,1,M,4.479123887748120
6M0,left,single,left,paired,1,M,13.415468856947300
0C3,right,paired,left,paired,1,M,19.16221765913760
6S6,right,paired,left,single,0,M,10.392881587953500
AE3,right,paired,left,paired,1,M,7.592060232717320
DV9,left,paired,left,paired,1,F,2.455852156057500
CV4,left,paired,left,paired,1,F,3.679671457905540
BT0,left,paired,left,single,0,F,5.388090349075980
9W7,left,paired,left,paired,1,M,9.481177275838470
DS6,left,paired,left,paired,1,M,2.3436002737850800
2Q7,right,single,left,paired,1,F,11.403148528405200
CJ4,right,single,left,paired,1,F,4.618754277891860
BG4,right,single,left,paired,1,F,5.3114305270362800
